bj_5889a8acc13f2,name,37.476003,126.974137,0.0
bj_5889a8acd1905,name,37.476161,126.979442,0.0
bj_5889a8ad00151,name,37.476436,126.979450,0.0
bj_5889a8ad188c5,name,37.476908,126.974020,0.0
bj_5889a8ac90520,name,37.475006,126.960923,0.0
bj_5889a8aca0a0c,name,37.475043,126.959936,0.0
bj_5889a8aca8c79,name,37.475729,126.967617,0.0
bj_5889a8acb0ef7,name,37.475756,126.959738,0.0
bj_5889a8acc966e,name,37.476151,126.959550,0.0
bj_5889a8ad083d1,name,37.476708,126.965117,0.0
bj_5889a8ad20b6b,name,37.477042,126.964217,0.0
bj_5889a8ad31045,name,37.477380,126.963337,0.0
bj_5889a8ad497dc,name,37.478101,126.959854,0.0
bj_5889a8ad5be9c,name,37.478229,126.959055,0.0
bj_5889a8ad6c361,name,37.478292,126.962683,0.0
bj_5889a8ad84ae9,name,37.478999,126.959489,0.0
bj_5889a8ad8cd6c,name,37.479164,126.962423,0.0
bj_5889a8ad94fbe,name,37.479531,126.961502,0.0
bj_5889a8ae6ab61,name,37.484628,126.960016,0.0
bj_5889a8ae9ba54,name,37.484871,126.959855,0.0
